Column1;date;trade_type;side;outcome;amount;price;total;title;user;ai_prompt;ai_guess;groundtruth
3082;2026-07-10 08:39;TRADE;BUY;BetBoom Team;13.770832;0.5200000261;7.160832999418715;Counter-Strike: FaZe vs BetBoom Team - Map 1 Winner;0x96f795d0821b75a1c7f886b2c1cd49d108b7d6ae;"
You are an expert in text interpretation and classification.
Please read this prediction market title and determine which category best describes it. 
You must choose from the strict list of categories defined below. Return ONLY the exact Category Code, nothing else.

Categories and Definitions:
- sports: Any professional or collegiate sports events, games, or athlete performance metrics.
- political_issues_except_us_elections: Broader domestic political events, legislative outcomes, or policy decisions in the United States, excluding direct election results.
- gaming: Video games, esports tournaments, or gaming industry news.
- usa_iran_conflict: Any geopolitical, military, or diplomatic events specifically involving the United States and Iran.
- elections_global_and_domestic: Political elections, including polling, candidates, and winners, both within the US and internationally.
- geopolitics_except_elections: International relations, military conflicts (excluding US-Iran), global treaties, or global diplomatic events, excluding elections.
- war: Any events relating to warfare globally, except USA-Iran relations.
- tech: Technology companies, artificial intelligence, product launches, or science and space exploration.
- crypto_currencies: Blockchain technology, cryptocurrency prices, NFT markets, or decentralized finance (DeFi).
- pop_culture_and_entertainment: Celebrities, music, movies, awards shows, social media influencers, or viral internet events.
- crime: Criminal trials, verdicts, arrests, or legal proceedings.
- other: if it can not be defined by any other category. Resort to this only if necessary.

Here is the exact list of Category Codes to output: ""sports"", ""political_issues_except_us_elections"", ""gaming"", ""usa_iran_conflict"", ""elections_global_and_domestic"", ""geopolitics_except_elections"", ""war_events"", ""tech"", ""crypto_currencies"", ""pop_culture_and_entertainment"", ""crime"", ""other""

Here is the market title: Counter-Strike: FaZe vs BetBoom Team - Map 1 Winner
Do a really good job and make me proud.

";gaming;gaming
2921;2026-06-09 23:16;TRADE;BUY;Yes;25.02;0.95;23.769;Will Pamela Evette win the first round of the South Carolina Republican Governor Primary by less than 5%?;0x2b9dbf4b6e0e11309a9d6d2a09b72f65f652adc0;"
You are an expert in text interpretation and classification.
Please read this prediction market title and determine which category best describes it. 
You must choose from the strict list of categories defined below. Return ONLY the exact Category Code, nothing else.

Categories and Definitions:
- sports: Any professional or collegiate sports events, games, or athlete performance metrics.
- political_issues_except_us_elections: Broader domestic political events, legislative outcomes, or policy decisions in the United States, excluding direct election results.
- gaming: Video games, esports tournaments, or gaming industry news.
- usa_iran_conflict: Any geopolitical, military, or diplomatic events specifically involving the United States and Iran.
- elections_global_and_domestic: Political elections, including polling, candidates, and winners, both within the US and internationally.
- geopolitics_except_elections: International relations, military conflicts (excluding US-Iran), global treaties, or global diplomatic events, excluding elections.
- war: Any events relating to warfare globally, except USA-Iran relations.
- tech: Technology companies, artificial intelligence, product launches, or science and space exploration.
- crypto_currencies: Blockchain technology, cryptocurrency prices, NFT markets, or decentralized finance (DeFi).
- pop_culture_and_entertainment: Celebrities, music, movies, awards shows, social media influencers, or viral internet events.
- crime: Criminal trials, verdicts, arrests, or legal proceedings.
- other: if it can not be defined by any other category. Resort to this only if necessary.

Here is the exact list of Category Codes to output: ""sports"", ""political_issues_except_us_elections"", ""gaming"", ""usa_iran_conflict"", ""elections_global_and_domestic"", ""geopolitics_except_elections"", ""war_events"", ""tech"", ""crypto_currencies"", ""pop_culture_and_entertainment"", ""crime"", ""other""

Here is the market title: Will Pamela Evette win the first round of the South Carolina Republican Governor Primary by less than 5%?
Do a really good job and make me proud.

";elections_global_and_domestic;elections_global_and_domestic
5588;2026-07-04 10:00;TRADE;BUY;Under;2000.0;0.29;580.0;Canada vs. Morocco: O/U 1.5;0x760907c8840491c8c86fddb843d3f1d801786c4e;"
You are an expert in text interpretation and classification.
Please read this prediction market title and determine which category best describes it. 
You must choose from the strict list of categories defined below. Return ONLY the exact Category Code, nothing else.

Categories and Definitions:
- sports: Any professional or collegiate sports events, games, or athlete performance metrics.
- political_issues_except_us_elections: Broader domestic political events, legislative outcomes, or policy decisions in the United States, excluding direct election results.
- gaming: Video games, esports tournaments, or gaming industry news.
- usa_iran_conflict: Any geopolitical, military, or diplomatic events specifically involving the United States and Iran.
- elections_global_and_domestic: Political elections, including polling, candidates, and winners, both within the US and internationally.
- geopolitics_except_elections: International relations, military conflicts (excluding US-Iran), global treaties, or global diplomatic events, excluding elections.
- war: Any events relating to warfare globally, except USA-Iran relations.
- tech: Technology companies, artificial intelligence, product launches, or science and space exploration.
- crypto_currencies: Blockchain technology, cryptocurrency prices, NFT markets, or decentralized finance (DeFi).
- pop_culture_and_entertainment: Celebrities, music, movies, awards shows, social media influencers, or viral internet events.
- crime: Criminal trials, verdicts, arrests, or legal proceedings.
- other: if it can not be defined by any other category. Resort to this only if necessary.

Here is the exact list of Category Codes to output: ""sports"", ""political_issues_except_us_elections"", ""gaming"", ""usa_iran_conflict"", ""elections_global_and_domestic"", ""geopolitics_except_elections"", ""war_events"", ""tech"", ""crypto_currencies"", ""pop_culture_and_entertainment"", ""crime"", ""other""

Here is the market title: Canada vs. Morocco: O/U 1.5
Do a really good job and make me proud.

";sports;sports
19168;2026-07-10 15:11;TRADE;BUY;Yes;166.67;0.97;161.66989999999998;Nathan Ngoy: 1+ shots;0x2843d543c60a54106f572ab74f0e2e04f293b3d2;"
You are an expert in text interpretation and classification.
Please read this prediction market title and determine which category best describes it. 
You must choose from the strict list of categories defined below. Return ONLY the exact Category Code, nothing else.

Categories and Definitions:
- sports: Any professional or collegiate sports events, games, or athlete performance metrics.
- political_issues_except_us_elections: Broader domestic political events, legislative outcomes, or policy decisions in the United States, excluding direct election results.
- gaming: Video games, esports tournaments, or gaming industry news.
- usa_iran_conflict: Any geopolitical, military, or diplomatic events specifically involving the United States and Iran.
- elections_global_and_domestic: Political elections, including polling, candidates, and winners, both within the US and internationally.
- geopolitics_except_elections: International relations, military conflicts (excluding US-Iran), global treaties, or global diplomatic events, excluding elections.
- war: Any events relating to warfare globally, except USA-Iran relations.
- tech: Technology companies, artificial intelligence, product launches, or science and space exploration.
- crypto_currencies: Blockchain technology, cryptocurrency prices, NFT markets, or decentralized finance (DeFi).
- pop_culture_and_entertainment: Celebrities, music, movies, awards shows, social media influencers, or viral internet events.
- crime: Criminal trials, verdicts, arrests, or legal proceedings.
- other: if it can not be defined by any other category. Resort to this only if necessary.

Here is the exact list of Category Codes to output: ""sports"", ""political_issues_except_us_elections"", ""gaming"", ""usa_iran_conflict"", ""elections_global_and_domestic"", ""geopolitics_except_elections"", ""war_events"", ""tech"", ""crypto_currencies"", ""pop_culture_and_entertainment"", ""crime"", ""other""

Here is the market title: Nathan Ngoy: 1+ shots
Do a really good job and make me proud.

";sports;sports
15089;2026-02-06 08:17;TRADE;BUY;Yes;5.555554;0.6400000792;3.555554999999877;"Will Trump say ""Charlie Kirk"" during the State of the Union address?";0xb1a2757fd88d6f66255f53565ada24d875b257fe;"
You are an expert in text interpretation and classification.
Please read this prediction market title and determine which category best describes it. 
You must choose from the strict list of categories defined below. Return ONLY the exact Category Code, nothing else.

Categories and Definitions:
- sports: Any professional or collegiate sports events, games, or athlete performance metrics.
- political_issues_except_us_elections: Broader domestic political events, legislative outcomes, or policy decisions in the United States, excluding direct election results.
- gaming: Video games, esports tournaments, or gaming industry news.
- usa_iran_conflict: Any geopolitical, military, or diplomatic events specifically involving the United States and Iran.
- elections_global_and_domestic: Political elections, including polling, candidates, and winners, both within the US and internationally.
- geopolitics_except_elections: International relations, military conflicts (excluding US-Iran), global treaties, or global diplomatic events, excluding elections.
- war: Any events relating to warfare globally, except USA-Iran relations.
- tech: Technology companies, artificial intelligence, product launches, or science and space exploration.
- crypto_currencies: Blockchain technology, cryptocurrency prices, NFT markets, or decentralized finance (DeFi).
- pop_culture_and_entertainment: Celebrities, music, movies, awards shows, social media influencers, or viral internet events.
- crime: Criminal trials, verdicts, arrests, or legal proceedings.
- other: if it can not be defined by any other category. Resort to this only if necessary.

Here is the exact list of Category Codes to output: ""sports"", ""political_issues_except_us_elections"", ""gaming"", ""usa_iran_conflict"", ""elections_global_and_domestic"", ""geopolitics_except_elections"", ""war_events"", ""tech"", ""crypto_currencies"", ""pop_culture_and_entertainment"", ""crime"", ""other""

Here is the market title: Will Trump say ""Charlie Kirk"" during the State of the Union address?
Do a really good job and make me proud.

";political_issues_except_us_elections;political_issues_except_us_elections
18625;2026-07-09 18:33;TRADE;BUY;Yes;5.14;0.538;2.76532;Will Israel strike 4 countries in 2026?;0xa66790e2b0075e73c3781ddaf1d0b875a3aaceb3;"
You are an expert in text interpretation and classification.
Please read this prediction market title and determine which category best describes it. 
You must choose from the strict list of categories defined below. Return ONLY the exact Category Code, nothing else.

Categories and Definitions:
- sports: Any professional or collegiate sports events, games, or athlete performance metrics.
- political_issues_except_us_elections: Broader domestic political events, legislative outcomes, or policy decisions in the United States, excluding direct election results.
- gaming: Video games, esports tournaments, or gaming industry news.
- usa_iran_conflict: Any geopolitical, military, or diplomatic events specifically involving the United States and Iran.
- elections_global_and_domestic: Political elections, including polling, candidates, and winners, both within the US and internationally.
- geopolitics_except_elections: International relations, military conflicts (excluding US-Iran), global treaties, or global diplomatic events, excluding elections.
- war: Any events relating to warfare globally, except USA-Iran relations.
- tech: Technology companies, artificial intelligence, product launches, or science and space exploration.
- crypto_currencies: Blockchain technology, cryptocurrency prices, NFT markets, or decentralized finance (DeFi).
- pop_culture_and_entertainment: Celebrities, music, movies, awards shows, social media influencers, or viral internet events.
- crime: Criminal trials, verdicts, arrests, or legal proceedings.
- other: if it can not be defined by any other category. Resort to this only if necessary.

Here is the exact list of Category Codes to output: ""sports"", ""political_issues_except_us_elections"", ""gaming"", ""usa_iran_conflict"", ""elections_global_and_domestic"", ""geopolitics_except_elections"", ""war_events"", ""tech"", ""crypto_currencies"", ""pop_culture_and_entertainment"", ""crime"", ""other""

Here is the market title: Will Israel strike 4 countries in 2026?
Do a really good job and make me proud.

";geopolitics_except_elections;war_events
17814;2026-06-25 16:26;TRADE;BUY;Yes;24.294116;0.1699999704;4.129999000894166;Will Sonia Backès be the next President of the Government of New Caledonia?;0xc24fa1e0fda1552c830022807abd855aadbe220b;"
You are an expert in text interpretation and classification.
Please read this prediction market title and determine which category best describes it. 
You must choose from the strict list of categories defined below. Return ONLY the exact Category Code, nothing else.

Categories and Definitions:
- sports: Any professional or collegiate sports events, games, or athlete performance metrics.
- political_issues_except_us_elections: Broader domestic political events, legislative outcomes, or policy decisions in the United States, excluding direct election results.
- gaming: Video games, esports tournaments, or gaming industry news.
- usa_iran_conflict: Any geopolitical, military, or diplomatic events specifically involving the United States and Iran.
- elections_global_and_domestic: Political elections, including polling, candidates, and winners, both within the US and internationally.
- geopolitics_except_elections: International relations, military conflicts (excluding US-Iran), global treaties, or global diplomatic events, excluding elections.
- war: Any events relating to warfare globally, except USA-Iran relations.
- tech: Technology companies, artificial intelligence, product launches, or science and space exploration.
- crypto_currencies: Blockchain technology, cryptocurrency prices, NFT markets, or decentralized finance (DeFi).
- pop_culture_and_entertainment: Celebrities, music, movies, awards shows, social media influencers, or viral internet events.
- crime: Criminal trials, verdicts, arrests, or legal proceedings.
- other: if it can not be defined by any other category. Resort to this only if necessary.

Here is the exact list of Category Codes to output: ""sports"", ""political_issues_except_us_elections"", ""gaming"", ""usa_iran_conflict"", ""elections_global_and_domestic"", ""geopolitics_except_elections"", ""war_events"", ""tech"", ""crypto_currencies"", ""pop_culture_and_entertainment"", ""crime"", ""other""

Here is the market title: Will Sonia Backès be the next President of the Government of New Caledonia?
Do a really good job and make me proud.

";elections_global_and_domestic;elections_global_and_domestic
35498;2026-07-09 11:19;TRADE;BUY;No;81.0;0.885;71.685;Will Elon Musk post 140-159 tweets from July 3 to July 10, 2026?;0x6b17d237e6b7f74ce8171d6dc68e07bc21c803b2;"
You are an expert in text interpretation and classification.
Please read this prediction market title and determine which category best describes it. 
You must choose from the strict list of categories defined below. Return ONLY the exact Category Code, nothing else.

Categories and Definitions:
- sports: Any professional or collegiate sports events, games, or athlete performance metrics.
- political_issues_except_us_elections: Broader domestic political events, legislative outcomes, or policy decisions in the United States, excluding direct election results.
- gaming: Video games, esports tournaments, or gaming industry news.
- usa_iran_conflict: Any geopolitical, military, or diplomatic events specifically involving the United States and Iran.
- elections_global_and_domestic: Political elections, including polling, candidates, and winners, both within the US and internationally.
- geopolitics_except_elections: International relations, military conflicts (excluding US-Iran), global treaties, or global diplomatic events, excluding elections.
- war: Any events relating to warfare globally, except USA-Iran relations.
- tech: Technology companies, artificial intelligence, product launches, or science and space exploration.
- crypto_currencies: Blockchain technology, cryptocurrency prices, NFT markets, or decentralized finance (DeFi).
- pop_culture_and_entertainment: Celebrities, music, movies, awards shows, social media influencers, or viral internet events.
- crime: Criminal trials, verdicts, arrests, or legal proceedings.
- other: if it can not be defined by any other category. Resort to this only if necessary.

Here is the exact list of Category Codes to output: ""sports"", ""political_issues_except_us_elections"", ""gaming"", ""usa_iran_conflict"", ""elections_global_and_domestic"", ""geopolitics_except_elections"", ""war_events"", ""tech"", ""crypto_currencies"", ""pop_culture_and_entertainment"", ""crime"", ""other""

Here is the market title: Will Elon Musk post 140-159 tweets from July 3 to July 10, 2026?
Do a really good job and make me proud.

";pop_culture_and_entertainment;pop_culture_and_entertainment
33775;2026-07-10 06:01;TRADE;BUY;No;10.0;0.001;0.01;Will OpenAI release a new frontier model on or before September 30, 2026?;0x66a1db98713015330a82f08273b682bee77e80d9;"
You are an expert in text interpretation and classification.
Please read this prediction market title and determine which category best describes it. 
You must choose from the strict list of categories defined below. Return ONLY the exact Category Code, nothing else.

Categories and Definitions:
- sports: Any professional or collegiate sports events, games, or athlete performance metrics.
- political_issues_except_us_elections: Broader domestic political events, legislative outcomes, or policy decisions in the United States, excluding direct election results.
- gaming: Video games, esports tournaments, or gaming industry news.
- usa_iran_conflict: Any geopolitical, military, or diplomatic events specifically involving the United States and Iran.
- elections_global_and_domestic: Political elections, including polling, candidates, and winners, both within the US and internationally.
- geopolitics_except_elections: International relations, military conflicts (excluding US-Iran), global treaties, or global diplomatic events, excluding elections.
- war: Any events relating to warfare globally, except USA-Iran relations.
- tech: Technology companies, artificial intelligence, product launches, or science and space exploration.
- crypto_currencies: Blockchain technology, cryptocurrency prices, NFT markets, or decentralized finance (DeFi).
- pop_culture_and_entertainment: Celebrities, music, movies, awards shows, social media influencers, or viral internet events.
- crime: Criminal trials, verdicts, arrests, or legal proceedings.
- other: if it can not be defined by any other category. Resort to this only if necessary.

Here is the exact list of Category Codes to output: ""sports"", ""political_issues_except_us_elections"", ""gaming"", ""usa_iran_conflict"", ""elections_global_and_domestic"", ""geopolitics_except_elections"", ""war_events"", ""tech"", ""crypto_currencies"", ""pop_culture_and_entertainment"", ""crime"", ""other""

Here is the market title: Will OpenAI release a new frontier model on or before September 30, 2026?
Do a really good job and make me proud.

";tech;tech
13622;2026-07-08 17:25;TRADE;BUY;No;100.0;0.26;26.0;Will Graham Platner drop out by July 8?;0xeca0c0888e34df59589c67fbe53dc7f298b5e8f8;"
You are an expert in text interpretation and classification.
Please read this prediction market title and determine which category best describes it. 
You must choose from the strict list of categories defined below. Return ONLY the exact Category Code, nothing else.

Categories and Definitions:
- sports: Any professional or collegiate sports events, games, or athlete performance metrics.
- political_issues_except_us_elections: Broader domestic political events, legislative outcomes, or policy decisions in the United States, excluding direct election results.
- gaming: Video games, esports tournaments, or gaming industry news.
- usa_iran_conflict: Any geopolitical, military, or diplomatic events specifically involving the United States and Iran.
- elections_global_and_domestic: Political elections, including polling, candidates, and winners, both within the US and internationally.
- geopolitics_except_elections: International relations, military conflicts (excluding US-Iran), global treaties, or global diplomatic events, excluding elections.
- war: Any events relating to warfare globally, except USA-Iran relations.
- tech: Technology companies, artificial intelligence, product launches, or science and space exploration.
- crypto_currencies: Blockchain technology, cryptocurrency prices, NFT markets, or decentralized finance (DeFi).
- pop_culture_and_entertainment: Celebrities, music, movies, awards shows, social media influencers, or viral internet events.
- crime: Criminal trials, verdicts, arrests, or legal proceedings.
- other: if it can not be defined by any other category. Resort to this only if necessary.

Here is the exact list of Category Codes to output: ""sports"", ""political_issues_except_us_elections"", ""gaming"", ""usa_iran_conflict"", ""elections_global_and_domestic"", ""geopolitics_except_elections"", ""war_events"", ""tech"", ""crypto_currencies"", ""pop_culture_and_entertainment"", ""crime"", ""other""

Here is the market title: Will Graham Platner drop out by July 8?
Do a really good job and make me proud.

";elections_global_and_domestic;elections_global_and_domestic
