title,percent
France winning the World Cup,28
Strait of Hormuz traffic returning to normal,25
Ronaldo crying at the World Cup,23
Argentina winning the World Cup,21
US-Iran diplomatic meeting by July 31,20
Mitch McConnell stepping down,20
Mojtaba Khamenei seen in public by July 15,18
Count Binface winning election,17
Iran withdrawal from MOU negotiations,17
Spain winning the World Cup,15
Iran agreeing to end uranium enrichment by June 30,15
Argentina winning against Egypt,15
US blockading Iran by July 31,15
US-Iran negotiations,14
Maine Senate Democratic nominee,14
Iran full airspace closure,14
US confirming that aliens exist,14
France winning quarterfinals,14
US-Iran permanent peace deal by June 30,14
Keir Starmer out of office,14
US - Iran diplomatic meeting by July 17,14
Claude AI-model restored for US customers,13
US-Iran permanent peace deal by May 31,13
The U.S. invading Iran,13
Marine Le Pen winning French presidential election,13
Putin out as President of Russia,13
Donald Trump publicly insulting Benjamin Netanyahu,12
Morocco winning against Canada,12
Kylian Mbappe top goalscorer at the World Cup,12
Jordan Bardella winning French presidential election,12
Strait of Hormuz traffic returning to normal by end of year,12
US-Iran Final Nuclear Deal by end of year,11
US-Iran nuclear deal by June 30,11
LeBron James playing for Cleveland Cavaliers,11
US-Iran permanent peace deal by June 15,11
Spain winning quarterfinals,11
Strait of Hormuz traffic returning to normal by end of June,11
Trump unfreezing Iranian assets,11
Iran agrees to end uranium enrichment by December 31?,11
Colombia winning against Switzerland,10
Samuel Alito announcing retirement from Supreme Court by September 30,10
US strike on Cuba,10
Mojtaba Khamenei seen in public by July 31,10
Keiko Fujimori winning Peruvian presidential election,10
England winning the World Cup?,10
Lionel Messi top goalscorer at the World Cup,10
Billionaire wealth tax passes in California,10
Tamas Sulyok out as President of Hungary,10
Samuel Alito announcing retirement from Supreme Court by end of year,10
US blockading Iran by end of year,9
