title,percent
Tyler Robinson convicted of homicide?,87
Will France win the 2026 FIFA World Cup?,28
Strait of Hormuz traffic returns to normal by July 31?,25
Will Ronaldo Cry at the World Cup?,23
Will Argentina win the 2026 FIFA World Cup?,21
"US x Iran diplomatic meeting by July 31, 2026?",20
Will Mitch McConnell step down from the Senate before his term ends?,20
Mojtaba Khamenei seen in public by July 15?,18
Will Count Binface win the Clacton by-election?,17
Will Iran announce withdrawal from MOU negotiations by July 31?,17
Will Spain win the 2026 FIFA World Cup?,15
 Iran agrees to end enrichment of uranium by June 30?,15
Will Argentina win on 2026-07-07?,15
Will the US announce a blockade on Iran by July 31?,15
US-Iran 60 day negotiation period extended?,14
Will Troy Jackson be the Maine Senate Democratic nominee on July 27?,14
Iran full airspace closure by July 15?,14
Will the US confirm that aliens exist before 2027?,14
Will France win on 2026-07-09?,14
"US x Iran permanent peace deal by June 30, 2026?",14
"Starmer out by June 30, 2026?",14
"US x Iran diplomatic meeting by July 17, 2026?",14
Will Claude Fable 5 be restored for US customers by July 1?,13
"US x Iran permanent peace deal by May 31, 2026?",13
Will the U.S. invade Iran before 2027?,13
Will Marine Le Pen win the 2027 French presidential election?,13
"Putin out as President of Russia by December 31, 2026?",13
"Will Donald Trump publicly insult Benjamin Netanyahu by June 30, 2026?",12
Will Morocco win on 2026-07-04?,12
Will Kylian Mbappe be the top goalscorer at the 2026 FIFA World Cup?,12
Will Jordan Bardella win the 2027 French presidential election?,12
Strait of Hormuz traffic returns to normal by December 31?,12
"US-Iran Final Nuclear Deal by December 31, 2026?",11
US-Iran nuclear deal by June 30?,11
Will LeBron James play for the Cleveland Cavaliers in 2026-27?,11
"US x Iran permanent peace deal by June 15, 2026?",11
Will Spain win on 2026-07-10?,11
Strait of Hormuz traffic returns to normal by end of June?,11
Will Trump agree to unfreeze Iranian assets by June 30?,11
 Iran agrees to end enrichment of uranium by December 31?,11
Will Colombia win on 2026-07-07?,10
"Will Samuel Alito announce his retirement by September 30, 2026?",10
US strike on Cuba by December 31?,10
Mojtaba Khamenei seen in public by July 31?,10
Will Keiko Fujimori win the 2026 Peruvian presidential election?,10
Will England win the 2026 FIFA World Cup?,10
Will Lionel Messi be the top goalscorer at the 2026 FIFA World Cup?,10
Billionaire one-time wealth tax passes in California election 2026?,10
Tamas Sulyok out as President of Hungary by July 31?,10
"Will Samuel Alito announce his retirement by December 31, 2026?",10
Will the US announce a blockade on Iran by December 31?,9
